时间,商品名称,库存变化,单笔销量
2026-03-27 15:57:09,C-日本地址,-31->-32,1
2026-03-27 15:58:15,A-韩国地址,-131->-133,2
2026-03-27 15:58:15,B-韩国地址,-84->-86,2
2026-03-27 15:58:15,C-韩国地址,-94->-95,1
2026-03-27 15:59:22,C-韩国地址,-95->-96,1
2026-03-27 16:00:28,A-日本地址,-43->-42,-1
2026-03-27 16:00:28,A-韩国地址,-133->-134,1
2026-03-27 16:00:28,C-日本地址,-32->-31,-1
2026-03-27 16:01:34,A-日本地址,-42->-40,-2
2026-03-27 16:01:34,A-中国地址,-14->-16,2
2026-03-27 16:01:34,A-韩国地址,-134->-135,1
2026-03-27 16:01:34,B-日本地址,-34->-32,-2
2026-03-27 16:01:34,B-韩国地址,-86->-87,1
2026-03-27 16:01:34,C-日本地址,-31->-30,-1
2026-03-27 16:01:34,C-韩国地址,-96->-97,1
2026-03-27 16:02:40,A-日本地址,-40->-42,2
2026-03-27 16:02:40,B-日本地址,-32->-34,2
2026-03-27 16:02:40,C-日本地址,-30->-31,1
2026-03-27 16:02:40,C-韩国地址,-97->-99,2
2026-03-27 16:03:47,A-韩国地址,-135->-138,3
2026-03-27 16:03:47,B-韩国地址,-87->-88,1
2026-03-27 16:04:53,A-韩国地址,-138->-136,-2
2026-03-27 16:04:53,B-韩国地址,-88->-87,-1
2026-03-27 16:04:53,C-韩国地址,-99->-97,-2
2026-03-27 16:05:48,B-中国地址,-13->-12,-1
2026-03-27 16:05:48,C-中国地址,-13->-12,-1
2026-03-27 16:05:59,A-中国地址,-16->-14,-2
2026-03-27 16:07:05,A-日本地址,-42->-43,1
2026-03-27 16:07:05,A-韩国地址,-136->-138,2
2026-03-27 16:07:05,B-日本地址,-34->-35,1
2026-03-27 16:07:05,B-韩国地址,-87->-88,1
2026-03-27 16:07:05,C-日本地址,-31->-32,1
2026-03-27 16:07:05,C-韩国地址,-97->-99,2
2026-03-27 16:08:11,A-韩国地址,-138->-140,2
2026-03-27 16:08:11,B-韩国地址,-88->-90,2
2026-03-27 16:08:11,C-韩国地址,-99->-100,1
2026-03-27 16:10:24,A-韩国地址,-140->-139,-1
2026-03-27 16:11:30,A-韩国地址,-139->-140,1
2026-03-27 16:11:30,B-韩国地址,-90->-91,1
2026-03-27 16:11:30,C-韩国地址,-100->-101,1
2026-03-27 16:13:43,A-韩国地址,-140->-142,2
2026-03-27 16:13:43,B-韩国地址,-91->-92,1
2026-03-27 16:13:43,C-韩国地址,-101->-103,2
2026-03-27 16:15:55,A-日本地址,-43->-44,1
2026-03-27 16:16:51,C-中国地址,-12->-13,1
2026-03-27 16:17:02,A-韩国地址,-142->-143,1
2026-03-27 16:18:08,A-日本地址,-44->-43,-1
2026-03-27 16:18:08,A-韩国地址,-143->-146,3
2026-03-27 16:18:08,B-韩国地址,-92->-95,3
2026-03-27 16:18:08,C-韩国地址,-103->-105,2
2026-03-27 16:19:14,A-日本地址,-43->-44,1
2026-03-27 16:21:26,A-日本地址,-44->-45,1
2026-03-27 16:21:26,A-韩国地址,-146->-147,1
2026-03-27 16:21:26,B-日本地址,-35->-36,1
2026-03-27 16:21:26,B-韩国地址,-95->-96,1
2026-03-27 16:21:26,C-日本地址,-32->-34,2
2026-03-27 16:21:26,C-韩国地址,-105->-107,2
2026-03-27 16:22:32,A-韩国地址,-147->-146,-1
2026-03-27 16:24:45,A-韩国地址,-146->-147,1
2026-03-27 16:25:51,A-日本地址,-45->-47,2
2026-03-27 16:26:57,A-韩国地址,-147->-148,1
2026-03-27 16:28:03,A-韩国地址,-148->-149,1
2026-03-27 16:32:28,A-韩国地址,-149->-151,2
2026-03-27 16:32:28,B-韩国地址,-96->-97,1
2026-03-27 16:32:28,C-韩国地址,-107->-108,1
2026-03-27 16:33:34,A-日本地址,-47->-48,1
2026-03-27 16:33:34,A-韩国地址,-151->-152,1
2026-03-27 16:33:34,B-日本地址,-36->-39,3
2026-03-27 16:33:34,B-韩国地址,-97->-99,2
2026-03-27 16:33:34,C-日本地址,-34->-36,2
2026-03-27 16:33:34,C-韩国地址,-108->-109,1
2026-03-27 16:38:00,A-日本地址,-48->-49,1
2026-03-27 16:38:00,A-韩国地址,-152->-153,1
2026-03-27 16:38:00,B-韩国地址,-99->-100,1
2026-03-27 16:38:00,C-韩国地址,-109->-110,1
2026-03-27 16:38:44,C-日本地址,-36->-38,2
2026-03-27 16:39:06,A-日本地址,-49->-51,2
2026-03-27 16:39:06,A-韩国地址,-153->-156,3
2026-03-27 16:39:06,B-韩国地址,-100->-101,1
2026-03-27 16:39:06,C-韩国地址,-110->-112,2
2026-03-27 16:40:02,B-国际地址,-5->-6,1
2026-03-27 16:40:13,A-国际地址,-9->-10,1
2026-03-27 16:40:13,A-韩国地址,-156->-157,1
2026-03-27 16:40:13,B-韩国地址,-101->-103,2
2026-03-27 16:40:13,C-韩国地址,-112->-113,1
2026-03-27 16:40:24,C-国际地址,-5->-6,1
2026-03-27 16:42:25,A-韩国地址,-157->-160,3
2026-03-27 16:42:25,B-韩国地址,-103->-104,1
2026-03-27 16:42:25,C-韩国地址,-113->-114,1
2026-03-27 16:44:38,A-韩国地址,-160->-159,-1
2026-03-27 16:44:38,B-韩国地址,-104->-103,-1
2026-03-27 16:44:38,C-韩国地址,-114->-113,-1
2026-03-27 16:45:44,A-国际地址,-10->-12,2
2026-03-27 16:46:50,A-中国地址,-14->-16,2
2026-03-27 16:46:50,B-韩国地址,-103->-101,-2
2026-03-27 16:46:50,C-韩国地址,-113->-112,-1
2026-03-27 16:47:01,C-中国地址,-13->-14,1
2026-03-27 16:47:56,A-中国地址,-16->-14,-2
2026-03-27 16:47:56,A-韩国地址,-159->-160,1
2026-03-27 16:47:56,B-韩国地址,-101->-103,2
2026-03-27 16:47:56,C-韩国地址,-112->-113,1
2026-03-27 16:48:07,C-中国地址,-14->-13,-1
2026-03-27 16:49:02,A-韩国地址,-160->-159,-1
2026-03-27 16:50:09,A-韩国地址,-159->-157,-2
2026-03-27 16:50:09,B-韩国地址,-103->-101,-2
2026-03-27 16:50:09,C-韩国地址,-113->-110,-3
2026-03-27 16:51:15,A-韩国地址,-157->-159,2
2026-03-27 16:51:59,B-国际地址,-6->-9,3
2026-03-27 16:52:10,C-国际地址,-6->-9,3
2026-03-27 16:52:21,A-国际地址,-12->-14,2
2026-03-27 16:52:21,A-韩国地址,-159->-160,1
2026-03-27 16:52:21,B-韩国地址,-101->-103,2
2026-03-27 16:52:21,C-韩国地址,-110->-112,2
2026-03-27 16:53:05,B-国际地址,-9->-10,1
2026-03-27 16:53:16,B-日本地址,-39->-40,1
2026-03-27 16:53:16,C-日本地址,-38->-39,1
2026-03-27 16:53:27,A-日本地址,-51->-52,1
2026-03-27 16:53:39,C-中国地址,-13->-14,1
2026-03-27 16:56:46,A-韩国地址,-160->-161,1
2026-03-27 16:56:46,B-韩国地址,-103->-105,2
2026-03-27 16:56:46,C-韩国地址,-112->-113,1
2026-03-27 17:00:04,A-韩国地址,-161->-162,1
2026-03-27 17:01:11,A-韩国地址,-162->-164,2
2026-03-27 17:01:11,B-韩国地址,-105->-107,2
2026-03-27 17:02:07,C-韩国地址,-113->-114,1
2026-03-27 17:02:18,A-韩国地址,-164->-165,1
2026-03-27 17:03:24,A-韩国地址,-165->-166,1
2026-03-27 17:03:46,C-日本地址,-39->-40,1
2026-03-27 17:03:57,B-国际地址,-10->-12,2
